"National Provider Number (NPI)"	"Provider Name Prefix"	"First Name of Provider"	"Middle Initial of Provider"	"Last Name of Provider"	"Suffix of Provider"	"Physician / Non-Physician"	"Specialty Type  (area of medicine)"	"Street Address"	"Street Address 2"	"City"	"State"	"County"	"Zip"	"Network IDs"	"FIPS Code"	"ProvDirIND01of0218973IA252D20140722T115902"
"1937"	"1682841156"	NA	"GEANA"	NA	"ABEURISHAL"	NA	"Non-Physician"	"005 Primary Care – Physician Assistant"	"250 W 9TH ST"	NA	"Avondale"	"CO"	"countya"	"81022"	"NEN001"	"25002"	NA
"1938"	"1103841561"	NA	"RANDOLPH"	NA	"OBLAICH"	NA	"Non-Physician"	"020 Neurological Surgery"	"250 W 9TH ST"	NA	"Strathmore"	"CA"	"countya"	"93267"	"NEN001"	"13006"	NA
"1939"	"1175976035"	NA	"TERALIN"	NA	"BLAKE"	NA	"Physician"	"035 Cardiothoracic Surgery"	"250 W 9TH ST"	NA	"Centreville"	"MS"	"countya"	"39631"	"MIN003"	"15004"	NA
"1940"	"1616123312"	NA	"GEANA"	NA	"BLAKELY"	NA	"Physician"	"008 Cardiovascular Disease"	"250 W 9TH ST"	NA	"Howe"	"ID"	"countyb"	"83244"	"NEN001"	"25002"	NA
"1941"	"1802775877"	NA	"EDWARD"	NA	"ACUNA-001"	NA	"Non-Physician"	"029 Psychiatry"	"250 W 9TH ST"	NA	"Goodlettsville"	"TN"	"countya"	"37070"	"MIN003"	"15004"	NA
"1942"	"1869253677"	NA	"CALLIS"	NA	"ACEMAN"	NA	"Physician"	"051 Speech Therapy"	"250 W 9TH ST"	NA	"Dpo"	"AE"	"countyb"	"09825"	"MIN003"	"15004"	NA
"1943"	"1087635850"	NA	"PRESTON"	NA	"ACEMAN"	NA	"Physician"	"003 Internal Medicine"	"250 W 9TH ST"	NA	"Moorhead"	"MN"	"countyb"	"56561"	"MIN003"	"13006"	NA
"1944"	"1628284194"	NA	"TERALIN"	NA	"JOHNSON"	NA	"Physician"	"027 Plastic Surgery"	"250 W 9TH ST"	NA	"Toledo"	"OH"	"countyb"	"43666"	"MIN003"	"25002"	NA
"1945"	"1221778561"	NA	"EDWARD"	NA	"BLAKE"	NA	"Physician"	"054 Orthotics and Prosthetics"	"250 W 9TH ST"	NA	"Dyess"	"AR"	"countyb"	"72330"	"NEN001"	"13006"	NA
"1946"	"1390265927"	NA	"EDWARD"	NA	"ACEMAN"	NA	"Non-Physician"	"040 General Acute Care Hospital"	"250 W 9TH ST"	NA	"Glenwood"	"IN"	"countyb"	"46133"	"NEN001"	"13006"	NA
"1947"	"1561155090"	NA	"DARELL"	NA	"BLAKELY"	NA	"Physician"	"020 Neurological Surgery"	"250 W 9TH ST"	NA	"Wellington"	"AL"	"countyb"	"36279"	"NEN001"	"13006"	NA
"1948"	"1020825644"	NA	"EDWARD"	NA	"ABEURISHAL"	NA	"Non-Physician"	"008 Cardiovascular Disease"	"250 W 9TH ST"	NA	"Myrtle Beach"	"SC"	"countya"	"29549"	"NEN001"	"15004"	NA
"1949"	"1081828739"	NA	"EDWARD"	NA	"OBLAICH"	NA	"Non-Physician"	"026 Physical Medicine & Rehabilitation"	"250 W 9TH ST"	NA	"Pentwater"	"MI"	"countya"	"49449"	"NEN001"	"15004"	NA
"1950"	"1682962562"	NA	"RANDOLPH"	NA	"ACUNA-001"	NA	"Non-Physician"	"029 Psychiatry"	"250 W 9TH ST"	NA	"Tres Pinos"	"CA"	"countya"	"95075"	"MIN003"	"15004"	NA
"1951"	"1051857925"	NA	"TRAISURE"	NA	"ABEURISHAL"	NA	"Non-Physician"	"011 Dermatology"	"250 W 9TH ST"	NA	"Crescent"	"IA"	"countyb"	"51526"	"NEN001"	"13006"	NA
"1952"	"1197192830"	NA	"DARELL"	NA	"ADAMSON"	NA	"Non-Physician"	"Dental - General"	"250 W 9TH ST"	NA	"North Troy"	"VT"	"countya"	"05859"	"NEN001"	"13006"	NA
"1953"	"1700381183"	NA	"DARELL"	NA	"ABEURISHAL"	NA	"Non-Physician"	"033 Urology"	"250 W 9TH ST"	NA	"Atlanta"	"GA"	"countyb"	"30368"	"MIN003"	"15004"	NA
"1954"	"1616789986"	NA	"TRAISURE"	NA	"JOHNSON"	NA	"Physician"	"023 Ophthalmology"	"250 W 9TH ST"	NA	"West Fairlee"	"VT"	"countyb"	"05083"	"MIN003"	"25002"	NA
"1955"	"1813222363"	NA	"GEANA"	NA	"ABEURISHAL"	NA	"Non-Physician"	"007 Allergy and Immunology"	"250 W 9TH ST"	NA	"Eden Prairie"	"MN"	"countyb"	"55347"	"MIN003"	"13006"	NA
"1956"	"1680479064"	NA	"DARELL"	NA	"ABEURISHAL"	NA	"Non-Physician"	"018 Nephrology"	"250 W 9TH ST"	NA	"El Paso"	"TX"	"countya"	"88569"	"NEN001"	"13006"	NA
"1957"	"1843064247"	NA	"DARELL"	NA	"OBLAICH"	NA	"Non-Physician"	"015 General Surgery"	"250 W 9TH ST"	NA	"Fountain Green"	"UT"	"countyb"	"84632"	"NEN001"	"13006"	NA
"1958"	"1404443389"	NA	"GEANA"	NA	"ABEURISHAL"	NA	"Non-Physician"	"Dental - Endodontist"	"250 W 9TH ST"	NA	"Lafayette"	"LA"	"countya"	"70506"	"NEN001"	"15004"	NA
"1959"	"1780155503"	NA	"CALLIS"	NA	"OBLAICH"	NA	"Physician"	"Dental - Endodontist"	"250 W 9TH ST"	NA	"Brookfield"	"GA"	"countya"	"31727"	"NEN001"	"15004"	NA
"1960"	"1913436328"	NA	"DARELL"	NA	"ACUNA-001"	NA	"Non-Physician"	"054 Orthotics and Prosthetics"	"250 W 9TH ST"	NA	"Medical Lake"	"WA"	"countyb"	"99022"	"MIN003"	"25002"	NA
"1961"	"1137132747"	NA	"CALLIS"	NA	"ABEURISHAL"	NA	"Physician"	"044 Outpatient Dialysis"	"250 W 9TH ST"	NA	"Frankfort"	"IL"	"countya"	"60423"	"NEN001"	"25002"	NA
"1962"	"1515083103"	NA	"RANDOLPH"	NA	"ADAMSON"	NA	"Non-Physician"	"061 Heart Transplant Program"	"250 W 9TH ST"	NA	"Breckenridge"	"TX"	"countya"	"76424"	"MIN003"	"25002"	NA
"1963"	"1848515578"	NA	"DARELL"	NA	"ABEURISHAL"	NA	"Non-Physician"	"028 Podiatrist"	"250 W 9TH ST"	NA	"Wagontown"	"PA"	"countya"	"19376"	"NEN001"	"13006"	NA
"1964"	"1850018716"	NA	"EDWARD"	NA	"JOHNSON"	NA	"Physician"	"023 Ophthalmology"	"250 W 9TH ST"	NA	"Saint Bonifacius"	"MN"	"countya"	"55375"	"MIN003"	"15004"	NA
"1965"	"1393122511"	NA	"CALLIS"	NA	"ADAMSON"	NA	"Physician"	"051 Speech Therapy"	"250 W 9TH ST"	NA	"Titusville"	"NJ"	"countya"	"08560"	"NEN001"	"13006"	NA
"1966"	"1203946483"	NA	"PRESTON"	NA	"BLAKELY"	NA	"Physician"	"026 Physical Medicine & Rehabilitation"	"250 W 9TH ST"	NA	"Millington"	"NJ"	"countyb"	"07946"	"MIN003"	"13006"	NA
"1967"	"1272369811"	NA	"TRAISURE"	NA	"ACEMAN"	NA	"Physician"	"035 Cardiothoracic Surgery"	"250 W 9TH ST"	NA	"Isabel"	"KS"	"countyb"	"67065"	"NEN001"	"25002"	NA
"1968"	"1908492279"	NA	"GEANA"	NA	"BLAKE"	NA	"Non-Physician"	"025 Orthopedic Surgery"	"250 W 9TH ST"	NA	"Martinsdale"	"MT"	"countyb"	"59053"	"NEN001"	"25002"	NA
"1969"	"1205522603"	NA	"GREG"	NA	"ACEMAN"	NA	"Non-Physician"	"021 Medical Oncology & Surgical Oncology"	"250 W 9TH ST"	NA	"Warminster"	"PA"	"countyb"	"18991"	"MIN003"	"15004"	NA
"1970"	"1770484585"	NA	"GREG"	NA	"ACUNA-001"	NA	"Physician"	"027 Plastic Surgery"	"250 W 9TH ST"	NA	"Comstock"	"NY"	"countyb"	"12821"	"NEN001"	"25002"	NA
"1971"	"1823517186"	NA	"TERALIN"	NA	"BLAKELY"	NA	"Non-Physician"	"020 Neurological Surgery"	"250 W 9TH ST"	NA	"Odessa"	"TX"	"countya"	"79764"	"MIN003"	"15004"	NA
"1972"	"1471299158"	NA	"TERALIN"	NA	"ADAMSON"	NA	"Physician"	"050 Occupational Therapist"	"250 W 9TH ST"	NA	"Vicksburg"	"MS"	"countya"	"39182"	"MIN003"	"15004"	NA
"1973"	"1495856934"	NA	"RANDOLPH"	NA	"ADAMSON"	NA	"Non-Physician"	"025 Orthopedic Surgery"	"250 W 9TH ST"	NA	"Plainfield"	"IL"	"countya"	"60586"	"MIN003"	"15004"	NA
"1974"	"1092403354"	NA	"DARELL"	NA	"ACUNA-001"	NA	"Non-Physician"	"013 ENT/Otolaryngology"	"250 W 9TH ST"	NA	"Falcon Heights"	"TX"	"countya"	"78545"	"NEN001"	"15004"	NA
"1975"	"1032813261"	NA	"CALLIS"	NA	"ADAMSON"	NA	"Physician"	"052 Psychiatric Hospital"	"250 W 9TH ST"	NA	"Weldon"	"NC"	"countyb"	"27890"	"MIN003"	"25002"	NA
"1976"	"1623381959"	NA	"GREG"	NA	"BLAKE"	NA	"Physician"	"008 Cardiovascular Disease"	"250 W 9TH ST"	NA	"Clarksville"	"IN"	"countyb"	"47129"	"NEN001"	"25002"	NA
"1977"	"1984383435"	NA	"RANDOLPH"	NA	"BLAKE"	NA	"Physician"	"048 Mammography"	"250 W 9TH ST"	NA	"Hickman"	"TN"	"countya"	"38567"	"MIN003"	"13006"	NA
"1978"	"1718577431"	NA	"DARELL"	NA	"ADAMSON"	NA	"Non-Physician"	"052 Psychiatric Hospital"	"250 W 9TH ST"	NA	"Dora"	"NM"	"countyb"	"88115"	"NEN001"	"25002"	NA
"1979"	"1237033903"	NA	"GEANA"	NA	"ACUNA-001"	NA	"Physician"	"025 Orthopedic Surgery"	"250 W 9TH ST"	NA	"Granby"	"CO"	"countyb"	"80446"	"MIN003"	"25002"	NA
"1980"	"1929767633"	NA	"PRESTON"	NA	"OBLAICH"	NA	"Physician"	"065 Liver Transplant Program"	"250 W 9TH ST"	NA	"Tuscaloosa"	"AL"	"countyb"	"35407"	"MIN003"	"13006"	NA
"1981"	"1580686185"	NA	"GEANA"	NA	"JOHNSON"	NA	"Non-Physician"	"035 Cardiothoracic Surgery"	"250 W 9TH ST"	NA	"El Paso"	"TX"	"countya"	"88541"	"MIN003"	"13006"	NA
"1982"	"1321031766"	NA	"CALLIS"	NA	"ACEMAN"	NA	"Non-Physician"	"018 Nephrology"	"250 W 9TH ST"	NA	"Saint Joseph"	"MN"	"countyb"	"56374"	"MIN003"	"13006"	NA
"1983"	"1413987573"	NA	"RANDOLPH"	NA	"ACEMAN"	NA	"Physician"	"Dental - Endodontist"	"250 W 9TH ST"	NA	"Franklin Park"	"NJ"	"countyb"	"08823"	"NEN001"	"15004"	NA
"1984"	"1410811871"	NA	"TRAISURE"	NA	"OBLAICH"	NA	"Non-Physician"	"030 Pulmonary Disease"	"250 W 9TH ST"	NA	"Yonkers"	"NY"	"countya"	"10703"	"MIN003"	"15004"	NA
"1985"	"1513787455"	NA	"TERALIN"	NA	"OBLAICH"	NA	"Non-Physician"	"030 Pulmonary Disease"	"250 W 9TH ST"	NA	"Apo"	"AE"	"countyb"	"09201"	"MIN003"	"25002"	NA
"1986"	"1404561590"	NA	"CALLIS"	NA	"JOHNSON"	NA	"Non-Physician"	"044 Outpatient Dialysis"	"250 W 9TH ST"	NA	"Waban"	"MA"	"countyb"	"02168"	"NEN001"	"13006"	NA
"1987"	"1588722373"	NA	"PRESTON"	NA	"ABEURISHAL"	NA	"Physician"	"042 Cardiac Catheterization Services"	"250 W 9TH ST"	NA	"Slovan"	"PA"	"countyb"	"15078"	"NEN001"	"15004"	NA
"1988"	"1805635042"	NA	"TRAISURE"	NA	"ACEMAN"	NA	"Non-Physician"	"040 General Acute Care Hospital"	"250 W 9TH ST"	NA	"Fayette"	"AL"	"countyb"	"35555"	"NEN001"	"13006"	NA
"1989"	"1801753423"	NA	"DARELL"	NA	"ABEURISHAL"	NA	"Physician"	"028 Podiatrist"	"250 W 9TH ST"	NA	"Ludlow"	"SD"	"countyb"	"57755"	"MIN003"	"25002"	NA
"1990"	"1373868731"	NA	"EDWARD"	NA	"OBLAICH"	NA	"Physician"	"002 Family Medicine"	"250 W 9TH ST"	NA	"Escanaba"	"MI"	"countya"	"49829"	"NEN001"	"25002"	NA
"1991"	"1705769092"	NA	"TRAISURE"	NA	"ACEMAN"	NA	"Non-Physician"	"066 Lung Transplant Program"	"250 W 9TH ST"	NA	"Nelson"	"VA"	"countya"	"24580"	"MIN003"	"13006"	NA
"1992"	"1551768894"	NA	"GREG"	NA	"ACEMAN"	NA	"Physician"	"018 Nephrology"	"250 W 9TH ST"	NA	"Quincy"	"MI"	"countya"	"49082"	"NEN001"	"13006"	NA
"1993"	"1303152379"	NA	"GREG"	NA	"OBLAICH"	NA	"Non-Physician"	"050 Occupational Therapist"	"250 W 9TH ST"	NA	"Walker"	"LA"	"countya"	"70785"	"NEN001"	"15004"	NA
"1994"	"1432844779"	NA	"GREG"	NA	"JOHNSON"	NA	"Non-Physician"	"031 Rheumatology"	"250 W 9TH ST"	NA	"Pemberville"	"OH"	"countya"	"43450"	"NEN001"	"25002"	NA
"1995"	"1806737543"	NA	"GEANA"	NA	"ACEMAN"	NA	"Non-Physician"	"031 Rheumatology"	"250 W 9TH ST"	NA	"Baton Rouge"	"LA"	"countyb"	"70803"	"NEN001"	"13006"	NA
"1996"	"1793020386"	NA	"GEANA"	NA	"OBLAICH"	NA	"Physician"	"067 Pancreas Transplant Program"	"250 W 9TH ST"	NA	"Astoria"	"NY"	"countya"	"11102"	"MIN003"	"25002"	NA
"1997"	"1471095764"	NA	"CALLIS"	NA	"BLAKE"	NA	"Non-Physician"	"004 Geriatrics"	"250 W 9TH ST"	NA	"Drexel Hill"	"PA"	"countyb"	"19026"	"MIN003"	"13006"	NA
"1998"	"1261205646"	NA	"GEANA"	NA	"ACUNA-001"	NA	"Non-Physician"	"064 Kidney Transplant Program"	"250 W 9TH ST"	NA	"Fpo"	"AP"	"countya"	"96607"	"NEN001"	"25002"	NA
"1999"	"1353780307"	NA	"CALLIS"	NA	"BLAKE"	NA	"Physician"	"016 Gynecology (OB/GYN)"	"250 W 9TH ST"	NA	"Bloomville"	"NY"	"countya"	"13739"	"NEN001"	"15004"	NA
"2000"	"1749571109"	NA	"RANDOLPH"	NA	"JOHNSON"	NA	"Physician"	"014 Gastroenterology"	"250 W 9TH ST"	NA	"Somerville"	"VA"	"countyb"	"22739"	"NEN001"	"13006"	NA
"2001"	"1752976553"	NA	"TERALIN"	NA	"ACUNA-001"	NA	"Physician"	"026 Physical Medicine & Rehabilitation"	"250 W 9TH ST"	NA	"Del Rio"	"TX"	"countyb"	"78841"	"MIN003"	"25002"	NA
"2002"	"1501978940"	NA	"TERALIN"	NA	"JOHNSON"	NA	"Non-Physician"	"008 Cardiovascular Disease"	"250 W 9TH ST"	NA	"Paterson"	"NJ"	"countyb"	"07533"	"NEN001"	"13006"	NA
"2003"	"1631357558"	NA	"CALLIS"	NA	"ACEMAN"	NA	"Physician"	"002 Family Medicine"	"250 W 9TH ST"	NA	"Quincy"	"OH"	"countyb"	"43343"	"MIN003"	"15004"	NA
"2004"	"1715206210"	NA	"DARELL"	NA	"JOHNSON"	NA	"Physician"	"005 Primary Care – Physician Assistant"	"250 W 9TH ST"	NA	"Oklahoma City"	"OK"	"countyb"	"73104"	"NEN001"	"25002"	NA
"2005"	"1283080951"	NA	"GEANA"	NA	"BLAKELY"	NA	"Physician"	"000 OTHER"	"250 W 9TH ST"	NA	"Denver"	"CO"	"countyb"	"80290"	"MIN003"	"25002"	NA
"2006"	"1665976137"	NA	"GREG"	NA	"JOHNSON"	NA	"Physician"	"012 Endocrinology"	"250 W 9TH ST"	NA	"Highland"	"KS"	"countyb"	"66035"	"NEN001"	"13006"	NA
"2007"	"1557348584"	NA	"TERALIN"	NA	"ABEURISHAL"	NA	"Non-Physician"	"003 Internal Medicine"	"250 W 9TH ST"	NA	"Lyle"	"WA"	"countya"	"98635"	"NEN001"	"13006"	NA
"2008"	"1373791863"	NA	"GEANA"	NA	"ABEURISHAL"	NA	"Physician"	"056 Durable Medical Equipment"	"250 W 9TH ST"	NA	"Presque Isle"	"MI"	"countya"	"49777"	"NEN001"	"25002"	NA
"2009"	"1066891838"	NA	"CALLIS"	NA	"ACUNA-001"	NA	"Non-Physician"	"041 Cardiac Surgery Program"	"250 W 9TH ST"	NA	"Garland"	"UT"	"countyb"	"84312"	"NEN001"	"15004"	NA
"2010"	"1647077976"	NA	"PRESTON"	NA	"ACEMAN"	NA	"Physician"	"061 Heart Transplant Program"	"250 W 9TH ST"	NA	"Fairfield"	"TX"	"countyb"	"75840"	"NEN001"	"25002"	NA
"2011"	"1596261759"	NA	"GREG"	NA	"ADAMSON"	NA	"Physician"	"057 Ambulatory Health Care Facilities - Infusion Therapy/Oncology/Radiology"	"250 W 9TH ST"	NA	"Mode"	"IL"	"countyb"	"62444"	"NEN001"	"25002"	NA
"2012"	"1591502225"	NA	"GEANA"	NA	"ABEURISHAL"	NA	"Non-Physician"	"017 Infectious Diseases"	"250 W 9TH ST"	NA	"Laramie"	"WY"	"countyb"	"82070"	"MIN003"	"13006"	NA
"2013"	"1906401312"	NA	"RANDOLPH"	NA	"ACUNA-001"	NA	"Non-Physician"	"051 Speech Therapy"	"250 W 9TH ST"	NA	"Long Beach"	"CA"	"countyb"	"90848"	"MIN003"	"13006"	NA
"2014"	"1799868308"	NA	"TRAISURE"	NA	"BLAKE"	NA	"Non-Physician"	"006 Primary Care – Nurse Practitioner"	"250 W 9TH ST"	NA	"Geneva"	"OH"	"countyb"	"44041"	"MIN003"	"15004"	NA
"2015"	"1127188157"	NA	"RANDOLPH"	NA	"ACEMAN"	NA	"Physician"	"040 General Acute Care Hospital"	"250 W 9TH ST"	NA	"Tierra Amarilla"	"NM"	"countya"	"87575"	"MIN003"	"15004"	NA
"2016"	"1904050968"	NA	"TERALIN"	NA	"BLAKELY"	NA	"Physician"	"016 Gynecology (OB/GYN)"	"250 W 9TH ST"	NA	"Conesville"	"IA"	"countya"	"52739"	"NEN001"	"13006"	NA
"2017"	"1243895536"	NA	"DARELL"	NA	"BLAKE"	NA	"Physician"	"012 Endocrinology"	"250 W 9TH ST"	NA	"Hope"	"ID"	"countya"	"83836"	"MIN003"	"13006"	NA
"2018"	"1129577108"	NA	"GREG"	NA	"JOHNSON"	NA	"Non-Physician"	"029 Psychiatry"	"250 W 9TH ST"	NA	"Baytown"	"TX"	"countyb"	"77522"	"MIN003"	"15004"	NA
"2019"	"1425098765"	NA	"CALLIS"	NA	"BLAKELY"	NA	"Physician"	"028 Podiatrist"	"250 W 9TH ST"	NA	"Dennisville"	"NJ"	"countya"	"08214"	"MIN003"	"15004"	NA
"2020"	"1469072297"	NA	"TERALIN"	NA	"ACUNA-001"	NA	"Non-Physician"	"054 Orthotics and Prosthetics"	"250 W 9TH ST"	NA	"Louisville"	"KY"	"countyb"	"40214"	"NEN001"	"13006"	NA
"2021"	"1172931700"	NA	"RANDOLPH"	NA	"ABEURISHAL"	NA	"Physician"	"042 Cardiac Catheterization Services"	"250 W 9TH ST"	NA	"Poplar Ridge"	"NY"	"countya"	"13139"	"NEN001"	"15004"	NA
"2022"	"1660328445"	NA	"RANDOLPH"	NA	"ADAMSON"	NA	"Physician"	"048 Mammography"	"250 W 9TH ST"	NA	"New Orleans"	"LA"	"countya"	"70115"	"NEN001"	"15004"	NA
"2023"	"1768466355"	NA	"TERALIN"	NA	"JOHNSON"	NA	"Physician"	"101 Pediatrics"	"250 W 9TH ST"	NA	"Killen"	"AL"	"countya"	"35645"	"MIN003"	"25002"	NA
"2024"	"1030316574"	NA	"CALLIS"	NA	"BLAKELY"	NA	"Non-Physician"	"065 Liver Transplant Program"	"250 W 9TH ST"	NA	"Titusville"	"FL"	"countyb"	"32780"	"MIN003"	"25002"	NA
"2025"	"1081121107"	NA	"CALLIS"	NA	"ACUNA-001"	NA	"Physician"	"021 Medical Oncology & Surgical Oncology"	"250 W 9TH ST"	NA	"La Motte"	"IA"	"countyb"	"52054"	"MIN003"	"25002"	NA
"2026"	"1554561157"	NA	"PRESTON"	NA	"BLAKELY"	NA	"Non-Physician"	"022 Radiation Oncology"	"250 W 9TH ST"	NA	"Hopkins"	"SC"	"countyb"	"29061"	"NEN001"	"15004"	NA
"2027"	"1626349533"	NA	"GEANA"	NA	"ADAMSON"	NA	"Physician"	"026 Physical Medicine & Rehabilitation"	"250 W 9TH ST"	NA	"Bloomsdale"	"MO"	"countyb"	"63627"	"MIN003"	"25002"	NA
"2028"	"1234014627"	NA	"TRAISURE"	NA	"BLAKELY"	NA	"Physician"	"064 Kidney Transplant Program"	"250 W 9TH ST"	NA	"Calvert City"	"KY"	"countyb"	"42029"	"NEN001"	"15004"	NA
"2029"	"1129057395"	NA	"RANDOLPH"	NA	"BLAKE"	NA	"Non-Physician"	"052 Psychiatric Hospital"	"250 W 9TH ST"	NA	"De Borgia"	"MT"	"countya"	"59830"	"MIN003"	"15004"	NA
"2030"	"1092576608"	NA	"EDWARD"	NA	"ACUNA-001"	NA	"Physician"	"002 Family Medicine"	"250 W 9TH ST"	NA	"Pullman"	"WA"	"countya"	"99164"	"MIN003"	"13006"	NA
"2031"	"1713473847"	NA	"TRAISURE"	NA	"JOHNSON"	NA	"Physician"	"Dental - Orthodontist"	"250 W 9TH ST"	NA	"Island Heights"	"NJ"	"countyb"	"08732"	"NEN001"	"25002"	NA
"2032"	"1853735112"	NA	"EDWARD"	NA	"BLAKE"	NA	"Physician"	"033 Urology"	"250 W 9TH ST"	NA	"Grants Pass"	"OR"	"countya"	"97257"	"NEN001"	"13006"	NA
"2033"	"1060887121"	NA	"PRESTON"	NA	"ADAMSON"	NA	"Non-Physician"	"029 Psychiatry"	"250 W 9TH ST"	NA	"Silver Lake"	"NY"	"countyb"	"14549"	"NEN001"	"13006"	NA
"2034"	"1638196414"	NA	"EDWARD"	NA	"OBLAICH"	NA	"Non-Physician"	"035 Cardiothoracic Surgery"	"250 W 9TH ST"	NA	"Gettysburg"	"PA"	"countyb"	"17325"	"MIN003"	"25002"	NA
"2035"	"1549359695"	NA	"CALLIS"	NA	"ACEMAN"	NA	"Non-Physician"	"062 Heart/Lung Transplant Program"	"250 W 9TH ST"	NA	"Riverton"	"NJ"	"countyb"	"08077"	"NEN001"	"13006"	NA
"2036"	"1696053000"	NA	"PRESTON"	NA	"BLAKELY"	NA	"Physician"	"000 OTHER"	"250 W 9TH ST"	NA	"Tall Timbers"	"MD"	"countya"	"20690"	"NEN001"	"13006"	NA
"2037"	"1373172530"	NA	"RANDOLPH"	NA	"ACEMAN"	NA	"Physician"	"015 General Surgery"	"250 W 9TH ST"	NA	"Stockton"	"CA"	"countyb"	"95267"	"NEN001"	"15004"	NA
"2038"	"1232550562"	NA	"TRAISURE"	NA	"JOHNSON"	NA	"Non-Physician"	"027 Plastic Surgery"	"250 W 9TH ST"	NA	"Mount Pleasant"	"AR"	"countyb"	"72561"	"NEN001"	"25002"	NA
"2039"	"1401901700"	NA	"TRAISURE"	NA	"JOHNSON"	NA	"Non-Physician"	"000 OTHER"	"250 W 9TH ST"	NA	"Madison Heights"	"VA"	"countyb"	"24572"	"MIN003"	"13006"	NA
"2040"	"1744728898"	NA	"CALLIS"	NA	"ADAMSON"	NA	"Physician"	"008 Cardiovascular Disease"	"250 W 9TH ST"	NA	"Dallas"	"TX"	"countya"	"75215"	"MIN003"	"13006"	NA
"2041"	"1412322348"	NA	"CALLIS"	NA	"BLAKELY"	NA	"Physician"	"011 Dermatology"	"250 W 9TH ST"	NA	"Taylor"	"TX"	"countya"	"76574"	"NEN001"	"25002"	NA
"2042"	"1015254167"	NA	"DARELL"	NA	"ACEMAN"	NA	"Physician"	"007 Allergy and Immunology"	"250 W 9TH ST"	NA	"Middletown"	"MD"	"countyb"	"21769"	"NEN001"	"15004"	NA
"2043"	"1067410333"	NA	"GEANA"	NA	"ACUNA-001"	NA	"Non-Physician"	"065 Liver Transplant Program"	"250 W 9TH ST"	NA	"New Haven"	"IL"	"countyb"	"62867"	"NEN001"	"25002"	NA
"2044"	"1422440851"	NA	"TERALIN"	NA	"BLAKE"	NA	"Non-Physician"	"003 Internal Medicine"	"250 W 9TH ST"	NA	"Edwards"	"CA"	"countyb"	"93524"	"NEN001"	"15004"	NA
"2045"	"1592479753"	NA	"DARELL"	NA	"ACUNA-001"	NA	"Non-Physician"	"003 Internal Medicine"	"250 W 9TH ST"	NA	"Gainesville"	"FL"	"countyb"	"32607"	"MIN003"	"15004"	NA
"2046"	"1010828510"	NA	"RANDOLPH"	NA	"ACUNA-001"	NA	"Physician"	"015 General Surgery"	"250 W 9TH ST"	NA	"Hopewell"	"NJ"	"countyb"	"08525"	"NEN001"	"25002"	NA
"2047"	"1127662210"	NA	"DARELL"	NA	"ACUNA-001"	NA	"Physician"	"047 Diagnostic Radiology (including Ambulatory Health Care Facilities – Radiology and Magnetic Resonance Imaging (MRI)"	"250 W 9TH ST"	NA	"Knoxville"	"MD"	"countyb"	"21758"	"NEN001"	"25002"	NA
"2048"	"1638943459"	NA	"TERALIN"	NA	"BLAKE"	NA	"Non-Physician"	"002 Family Medicine"	"250 W 9TH ST"	NA	"Long Key"	"FL"	"countyb"	"33001"	"NEN001"	"15004"	NA
"2049"	"1018062736"	NA	"PRESTON"	NA	"JOHNSON"	NA	"Physician"	"045 Surgical Services (Ambulatory Surgical Centers/Outpatient)"	"250 W 9TH ST"	NA	"Cardwell"	"MO"	"countya"	"63829"	"MIN003"	"13006"	NA
"2050"	"1828715106"	NA	"PRESTON"	NA	"OBLAICH"	NA	"Physician"	"042 Cardiac Catheterization Services"	"250 W 9TH ST"	NA	"Killeen"	"TX"	"countyb"	"76547"	"NEN001"	"15004"	NA
"2051"	"1911571222"	NA	"EDWARD"	NA	"OBLAICH"	NA	"Non-Physician"	"021 Medical Oncology & Surgical Oncology"	"250 W 9TH ST"	NA	"Gilbert"	"AZ"	"countya"	"85298"	"MIN003"	"13006"	NA
"2052"	"1399246934"	NA	"CALLIS"	NA	"JOHNSON"	NA	"Physician"	"056 Durable Medical Equipment"	"250 W 9TH ST"	NA	"Pittsburgh"	"PA"	"countya"	"15231"	"MIN003"	"13006"	NA
"2053"	"1350892800"	NA	"CALLIS"	NA	"OBLAICH"	NA	"Non-Physician"	"043 Critical Care Services - Intensive Care Units (ICU)"	"250 W 9TH ST"	NA	"Wichita"	"KS"	"countyb"	"67251"	"NEN001"	"25002"	NA
"2054"	"1391352592"	NA	"GEANA"	NA	"ACEMAN"	NA	"Non-Physician"	"048 Mammography"	"250 W 9TH ST"	NA	"Denver"	"PA"	"countyb"	"17517"	"MIN003"	"25002"	NA
"2055"	"1285248517"	NA	"GREG"	NA	"BLAKE"	NA	"Non-Physician"	"026 Physical Medicine & Rehabilitation"	"250 W 9TH ST"	NA	"Milwaukee"	"WI"	"countyb"	"53293"	"NEN001"	"15004"	NA
"2056"	"1064386410"	NA	"PRESTON"	NA	"JOHNSON"	NA	"Physician"	"052 Psychiatric Hospital"	"250 W 9TH ST"	NA	"San Juan"	"PR"	"countya"	"00933"	"NEN001"	"25002"	NA
"2057"	"1820288357"	NA	"CALLIS"	NA	"ABEURISHAL"	NA	"Non-Physician"	"023 Ophthalmology"	"250 W 9TH ST"	NA	"Gulnare"	"CO"	"countya"	"81042"	"MIN003"	"13006"	NA
